iter	Logloss
0	0.6908253077
1	0.6888541066
2	0.6870298245
3	0.6850194024
4	0.6829671058
5	0.680992463
6	0.6792575398
7	0.6772315876
8	0.6756175778
9	0.6737466071
10	0.6722102141
11	0.6703259256
12	0.6688514219
13	0.6670463956
14	0.6652961956
15	0.6632960664
16	0.6616207867
17	0.6600617154
18	0.6584855603
19	0.6565434046
20	0.6549660775
21	0.6531338938
22	0.6515326194
23	0.6497633218
24	0.6479993064
25	0.6463973008
26	0.6445599073
27	0.6433042658
28	0.6420103218
29	0.6406040596
30	0.6388966529
31	0.6375273113
32	0.636079839
33	0.6343629023
34	0.6328047872
35	0.6313014931
36	0.6297087064
37	0.6283755521
38	0.6271078309
39	0.6258229857
40	0.6243568406
41	0.6229691759
42	0.621251873
43	0.6198183357
44	0.6183633767
45	0.6165666213
46	0.615140392
47	0.6140760668
48	0.6127319762
49	0.611676055
50	0.6105607114
51	0.6094645787
52	0.6083350886
53	0.6073292789
54	0.606129671
55	0.6047139317
56	0.6033912763
57	0.6020743625
58	0.6007801901
59	0.5991898136
60	0.5984139702
61	0.5973100176
62	0.5962962857
63	0.5952534704
64	0.5942563716
65	0.5930758651
66	0.5917843481
67	0.590541953
68	0.5893991645
69	0.5880674303
70	0.5867653927
71	0.5856423157
72	0.5846713814
73	0.5835029552
74	0.5822436513
75	0.5808391414
76	0.5794737327
77	0.5783410803
78	0.5772848212
79	0.5762862683
80	0.5751850332
81	0.574257211
82	0.5730767893
83	0.5718938026
84	0.5708258636
85	0.5697702899
86	0.5687366136
87	0.5674855144
88	0.5663189065
89	0.5653076603
90	0.564518596
91	0.563542007
92	0.5625726303
93	0.5619557233
94	0.5608961828
95	0.5599087142
96	0.5590392606
97	0.5581358398
98	0.5570852642
99	0.5560518891
100	0.5549787237
101	0.5542653844
102	0.5534072252
103	0.5523999332
104	0.5517685952
105	0.5505016082
106	0.5495339417
107	0.5487040702
108	0.5480258213
109	0.5472429413
110	0.5461809347
111	0.5451534617
112	0.5444540778
113	0.5434293681
114	0.5423665697
115	0.5414151997
116	0.5405325355
117	0.5394067085
118	0.5384041164
119	0.5375072415
120	0.5364035326
121	0.5355500517
122	0.5345160773
123	0.5334902928
124	0.5327021095
125	0.531866123
126	0.531051498
127	0.5304128612
128	0.5295484708
129	0.5288676116
130	0.5280565881
131	0.527123012
132	0.526381043
133	0.5254977186
134	0.5246361187
135	0.5238090381
136	0.5229699954
137	0.5222572827
138	0.5215258752
139	0.5206160212
140	0.5195765553
141	0.5189610103
142	0.5184421038
143	0.5177337249
144	0.5171274811
145	0.5164254638
146	0.5156543736
147	0.5148159406
148	0.5140753301
149	0.513266762
150	0.5126482313
151	0.511991873
152	0.5113923766
153	0.5106993948
154	0.5098336555
155	0.509237035
156	0.508471611
157	0.5078502739
158	0.5069935941
159	0.506218821
160	0.5055860479
161	0.5050193823
162	0.5044502277
163	0.5039062962
164	0.503209056
165	0.5024732872
166	0.5017106642
167	0.5011322741
168	0.5004201648
169	0.4997454441
170	0.4990933711
171	0.4983004574
172	0.4976285465
173	0.4968637272
174	0.4961433447
175	0.4955737557
176	0.495036692
177	0.494174254
178	0.4935531899
179	0.492978755
180	0.4924113913
181	0.4916573329
182	0.4909424556
183	0.4904648189
184	0.4902478043
185	0.4896659102
186	0.4891838836
187	0.4883878619
188	0.4878102566
189	0.4870081951
190	0.4863622547
191	0.4857825515
192	0.4851402692
193	0.484640081
194	0.4839170907
195	0.4834826882
196	0.4828772146
197	0.4820817246
198	0.481504351
199	0.4809363016
200	0.4804654875
201	0.4798196066
202	0.4793022441
203	0.4786747091
204	0.4780790025
205	0.4773218652
206	0.4767262048
207	0.4761526534
208	0.4756263262
209	0.4749169934
210	0.4745096081
211	0.473949001
212	0.4733895103
213	0.4728927339
214	0.4721065814
215	0.4716263257
216	0.4708304217
217	0.4701285549
218	0.4696547471
219	0.4691452506
220	0.4686726615
221	0.4681719598
222	0.4676297503
223	0.4669645044
224	0.4665252856
225	0.465986305
226	0.4653662831
227	0.4649349398
228	0.4645846953
229	0.4639621071
230	0.4635115907
231	0.4630787871
232	0.462536969
233	0.4620560063
234	0.4614369023
235	0.4610351842
236	0.460609608
237	0.4601419231
238	0.4597455845
239	0.4591352167
240	0.4586645271
241	0.4580591368
242	0.4575457821
243	0.456974929
244	0.456619275
245	0.4560384647
246	0.4554902127
247	0.4549669733
248	0.454326484
249	0.4538095199
250	0.4534754803
251	0.4528924606
252	0.4522143475
253	0.4517314767
254	0.4510844112
255	0.450685333
256	0.4502782542
257	0.4498331399
258	0.4494413131
259	0.4490834841
260	0.4487390894
261	0.4482409875
262	0.4475337864
263	0.4469087746
264	0.4464058026
265	0.4459095258
266	0.4455002934
267	0.4450844695
268	0.4446596953
269	0.4440122352
270	0.44354883
271	0.4430537224
272	0.4425180466
273	0.4418346292
274	0.4414824652
275	0.4411742199
276	0.4405088258
277	0.4399988406
278	0.4395533357
279	0.4388961446
280	0.438380126
281	0.4378647918
282	0.4374308845
283	0.4370694257
284	0.4366777591
285	0.4363208649
286	0.4357978917
287	0.4355300964
288	0.4350070539
289	0.4346373681
290	0.4343400159
